2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude
31,Milwaukee,Wisconsin,"600,155",96.1,249,43.0633,87.9667
32,Albuquerque,New Mexico,"559,121",187.7,486.2,35.1056,106.6474
33,Tucson,Arizona,"531,641",226.7,587.2,32.1543,110.8711
34,Fresno,California,"520,052",113.2,293.2,36.7827,119.7945
35,Sacramento,California,"490,712",97.9,253.6,38.5666,121.4686
36,Kansas City,Missouri,"475,378",315,815.7,39.1252,94.5511
37,Long Beach,California,"474,140",50.3,130.3,33.8091,118.1553
38,Mesa,Arizona,"471,825",136.5,353.4,33.4019,111.7174
39,Atlanta,Georgia,"463,878",133.2,344.9,33.7629,84.4227
40,Colorado Springs,Colorado,"456,568",194.5,503.9,38.8673,104.7607
41,Virginia Beach,Virginia,"452,745",249,644.9,36.7793,76.024
42,Raleigh,North Carolina,"451,066",142.9,370.1,35.8302,78.6414
43,Omaha,Nebraska,"443,885",127.1,329.2,41.2647,96.0419
44,Miami,Florida,"441,003",35.9,92.9,25.7752,80.2086
45,Oakland,California,"419,267",55.9,144.8,37.7699,122.2256
46,Minneapolis,Minnesota,"410,939",54,139.8,44.9633,93.2683
47,Tulsa,Oklahoma,"403,505",196.8,509.6,36.1279,95.9023
48,Wichita,Kansas,"389,965",159.3,412.6,37.6907,97.3427
49,New Orleans,Louisiana,"389,617",169.4,438.8,30.0686,89.939
50,Arlington,Texas,"388,125",95.9,248.3,32.7007,97.1247
51,Cleveland,Ohio,"388,072",77.7,201.2,41.4781,81.6795
52,Bakersfield,California,"373,640",142.2,368.2,35.3212,119.0183
53,Tampa,Florida,"369,075",113.4,293.7,27.9701,82.4797
54,Aurora,Colorado,"359,407",154.1,369.1,39.7082,104.8235
55,Honolulu,Hawaii,"352,769",60.5,156.7,21.3259,157.8453
56,Anaheim,California,"350,742",49.8,129.1,33.8555,117.7601
57,Santa Ana,California,"335,400",27.3,70.6,33.7365,117.8826
58,Corpus Christi,Texas,"324,074",160.6,416,27.7543,97.1734
59,Riverside,California,"322,424",81.1,210.2,33.9381,117.3932
60,St. Louis,Missouri,"315,685",61.9,160.3,38.6357,90.2446
61,Lexington,Kentucky,"314,488",283.6,734.6,38.0402,84.4584
62,Stockton,California,"305,658",61.7,159.7,37.9763,121.3133
63,Pittsburgh,Pennsylvania,"304,391",55.4,143.4,40.4398,79.9766
64,Saint Paul,Minnesota,"300,851",52,134.6,44.9489,93.1039
65,Anchorage,Alaska,"298,695","1,704.70","4,415.10",61.2176,149.8953
66,Cincinnati,Ohio,"298,550",77.9,201.9,39.1399,84.5064
67,Henderson,Nevada,"285,667",107.7,279,36.0122,115.0375
68,Greensboro,North Carolina,"285,342",126.5,327.7,36.0965,79.8271
69,Plano,Texas,"283,558",71.6,185.4,33.0508,96.7479
70,Newark,New Jersey,"281,944",24.2,62.6,40.7242,74.1726
71,Toledo,Ohio,"279,789",80.7,209,41.6641,83.5819
72,Lincoln,Nebraska,"277,348",89.1,230.8,40.809,96.6804
73,Orlando,Florida,"270,934",102.4,265.2,28.4159,81.2988
74,Chula Vista,California,"265,757",49.6,128.5,32.6277,117.0152
75,Jersey City,New Jersey,"264,290",14.8,38.3,40.7114,74.0648
76,Chandler,Arizona,"260,828",64.4,166.8,33.2829,111.8549
77,Fort Wayne,Indiana,"260,326",110.6,286.5,41.0882,85.1439
78,Buffalo,New York,"258,071",40.4,104.6,42.8925,78.8597
79,Durham,North Carolina,"257,636",107.4,278.1,35.981,78.9056
80,St. Petersburg,Florida,"257,083",61.7,159.9,27.762,82.6441
81,Irvine,California,"256,927",66.1,171.2,33.6784,117.7713
82,Laredo,Texas,"255,473",88.9,230.3,27.5477,99.4869
83,Lubbock,Texas,"249,042",122.4,317,33.5665,101.8867
84,Madison,Wisconsin,"248,951",76.8,198.9,43.0878,89.4301
85,Gilbert,Arizona,"247,542",68,176,33.3102,111.7422
86,Norfolk,Virginia,"246,393",54.1,140.2,36.923,76.2446
87,Reno,Nevada,"241,445",103,266.8,39.4745,119.7765
88,Winston?alem,North Carolina,"241,218",132.4,343,36.1033,80.2606
89,Glendale,Arizona,"240,126",60,155.3,33.5331,112.1899
90,Hialeah,Florida,"237,069",21.5,55.6,25.8699,80.3029
91,Garland,Texas,"236,897",57.1,147.8,32.9098,96.6304
92,Scottsdale,Arizona,"236,839",183.9,476.4,33.6687,111.8237
93,Irving,Texas,"236,607",67,173.6,32.8577,96.97
94,Chesapeake,Virginia,"235,429",340.8,882.7,36.6794,76.3018
95,North Las Vegas,Nevada,"234,807",101.3,262.5,36.283,115.0893
96,Fremont,California,"232,206",77.5,200.6,37.4944,121.9411
97,Baton Rouge,Louisiana,"228,590",76.9,199.3,30.4485,91.1259
98,Richmond,Virginia,"220,289",59.8,154.9,37.5314,77.476
99,Boise,Idaho,"218,281",79.4,205.56,43.5985,116.2311
100,San Bernardino,California,"216,108",59.2,153.3,34.1393,117.2953
101,Spokane,Washington,"213,272",59.2,153.4,47.6736,117.4166
102,Birmingham,Alabama,"212,461",146.1,378.3,33.5274,86.799
103,Modesto,California,"211,266",36.9,95.5,37.6609,120.9891
104,Des Moines,Iowa,"210,330",80.9,209.5,41.5739,93.6167
105,Rochester,New York,"209,802",35.8,92.7,43.1699,77.6169
106,Tacoma,Washington,"207,948",49.7,128.8,47.2522,122.4598
107,Fontana,California,"207,460",42.4,109.9,34.1088,117.4627
108,Oxnard,California,"207,254",26.9,69.7,34.2023,119.2046
109,Moreno Valley,California,"204,198",51.3,132.8,33.9233,117.2057
110,Fayetteville,North Carolina,"201,963",145.8,377.7,35.0851,78.9803
111,Huntington Beach,California,"201,899",26.7,69.3,33.6906,118.0093
112,Yonkers,New York,"201,116",18,46.7,40.9459,73.8674
113,Glendale,California,"201,020",30.5,78.9,34.1814,118.2458
114,Aurora,Illinois,"200,661",44.9,116.4,41.7635,88.2901
115,Montgomery,Alabama,"200,602",159.6,413.3,32.3463,86.2686
116,Columbus,Georgia,"200,579",216.4,560.4,32.5102,84.8749
117,Amarillo,Texas,"198,645",99.5,257.6,35.1978,101.8287
118,Little Rock,Arkansas,"197,992",119.2,308.7,34.7254,92.3586
119,Akron,Ohio,"197,542",62,160.7,41.0805,81.5214
120,Shreveport,Louisiana,"197,204",105.4,272.9,32.467,93.7927
121,Augusta,Georgia,"197,182",302.5,783.4,33.3655,82.0734
